tr,site,plot,nvm,ncm,nvf,ncf,vrf,vrm,agb,nsc,sdn,ssr,pn,pr,fn,cn
30% lar,2,6,0.086,41.7,0.158,40.6,11.68666667,1.716666667,1.239,1.599,10.7,0.63,11568,2409.4,17,15
30% lar,2,7,0.058,40.9,0.187,41.5,8.70333333,0.983333333,1.242,1.511,10,0.72,11699.33333,2045,13.9,15.5
30% lar,2,8,0.075,42.1,0.207,40.5,10.63666667,1.95,1.411,2.058,7.9,0.64,11526,2441.3,12.3,17.2
30% lar,2,9,0.083,43,0.208,42.9,14.18666667,1.516666667,1.294,1.90328,9.5,0.75,11527.33333,2422.8,12.7,19.4
30% lar,2,10,0.068,41.9,0.198,37.5,11.22,1.35,1.119,1.5259,9,0.66,11660.66667,2309.6,13.6,18.3
30% lar,3,1,0.092,43.2,0.147,41,7.07,1.25,1.085,1.204,8.9,0.59,11816,2050.3,15.1,15.4
30% lar,3,2,0.077,40.6,0.191,40.8,9.936666667,1.866666667,1.327,1.9872,10.5,0.64,11788.66667,2556.9,16.4,18.1
30% lar,3,3,0.083,40.6,0.179,39.3,12.03666667,1.366666667,1.315,1.758,12.6,0.69,12112,2382.7,18.3,16.2
30% lar,3,4,0.088,42.5,0.19,43.8,10.07,1.283333333,1.125,1.774,11.7,0.64,11819.33333,2123.1,18.3,14.5
30% lar,3,5,0.072,42.8,0.199,40.1,11.10333333,1.716666667,1.19,2.033,7.8,0.58,12210.66667,2325.4,13.5,13.1
30% lar,3,6,0.099,38.9,0.217,38,15.00333333,2.2,1.46,2.164,12.4,0.72,12386,2487.3,17.2,18.4
30% lar,3,7,0.077,39.7,0.168,43,10.67,1.616666667,1.317,1.575,10.9,0.6,10852,2146.2,18.2,17.5
30% lar,3,8,0.093,40.1,0.182,42.4,10.43666667,1.416666667,1.182,1.792,10,0.62,10962.66667,2148.5,16.1,13.8
30% lar,3,9,0.085,41.4,0.159,41.1,9.07,2.116666667,1.173,1.4028,9.1,0.57,10996.66667,2371.3,16,17.7
30% lar,3,10,0.066,42.3,0.187,41.6,13.55333333,1.733333333,1.103,1.32875,12.8,0.74,11385.46667,2300.9,17.3,19.4
